"Source","Target"
"Hate speech","Racism"
"Hate speech","Origin"
"Origin","People based on origin"
"Hate speech","Migrants"
"Hate speech","Religion"
"Hate speech","Ideology"
"Hate speech","Homophobia"
"Hate speech","Sexism"
"Hate speech","Body"
"Hate speech","Health"
"Hate speech","Ageing"
"Hate speech","OtherLifestyle"
"Racism","Asians"
"Racism","White people"
"Racism","Black people"
"Racism","Indigenous"
"Racism","Latins"
"Asians","Chinese"
"Asians","Japaneses"
"Black people","Black Women"
"Latins","Argentines"
"Latins","Mexicans"
"Latins","Venezuelans"
"Origin","Latins"
"Origin","Asians"
"Origin","Arabic"
"Origin","East europeans"
"Origin","Africans"
"Origin","South Americans"
"Origin","Rural people"
"Origin","People based on origin"
"Arabic","Egyptians"
"Arabic","Iranians"
"East europeans","Russians"
"East europeans","Ucranians"
"Africans","Angolans"
"South Americans","Brazilians"
"Rural people","Nordestines"
"Rural people","Sertanejos"
"Brazilians","Sertanejos"
"Brazilians","Nordestines"
"Migrants","Immigrants"
"Migrants","Refugees"
"Religion","Islamists"
"Religion","Jews"
"Religion","Muslims"
"Muslims","Muslims women"
"Ideology","Agnostic"
"Ideology","Left wing ideology"
"Ideology","Feminists"
"Feminists","Men Feminists"
"Homophobia","Lesbians"
"Homophobia","Homossexuals"
"Homossexuals","Lesbians"
"Homossexuals","Gays"
"Homophobia","Gays"
"Homophobia","Bissexuals"
"Sexism","Feminists"
"Sexism","Women"
"Sexism","Men"
"Sexism","Transexuals"
"Women","Trans women"
"Women","Fat women"
"Women","Travestis"
"Women","Old women"
"Women","Blond women"
"Women","Thin women"
"Women","Homeless women"
"Women","Muslims women"
"Women","Brazilian women"
"Women","Football players women"
"Women","Black Women"
"Women","Aborting women"
"Women","Blond women"
"Women","Ugly women"
"Body","Fat people"
"Body","Thin people"
"Body","Ugly people"
"Ugly people","Ugly women"
"Fat people","Fat women"
"Body","Blond women"
"Thin people","Thin women"
"Health","Autists"
"Health","Disabled people"
"Ageing","Old people"
"Ageing","Young people"
"Old people","Old women"
"OtherLifestyle","Gamers"
"OtherLifestyle","Jornalists"
"OtherLifestyle","Politicians"
"OtherLifestyle","Vegetarians"
"OtherLifestyle","Polyamorous"
"OtherLifestyle","Poor people"
"OtherLifestyle","Homeless"
"OtherLifestyle","Criminals"
"OtherLifestyle","Tattooed people"
"OtherLifestyle","Street artists"
"OtherLifestyle","Football players women"
"Homeless","Homeless women"
